distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
exgaussian,REG01,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | heavy_tailed_t | low | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95203,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.013906729346920674,0.0033727785875919225,FALSE,benchmark,huber_k1.75,0.013962284866134145,0.003359789075496092,huber_k1.75,winsorized_0.05,0.003978970472393356,-0.0038661689171800608,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,24,24,12,20,40,745617667,0.029448511089424617,0.007313583848455969,2.11757274860805,2.1684150490024505,FALSE,benchmark,huber_k1.75,huber_k1.75,biweight,0.017756423557635563,0.00468055493055314,-0.6584708622870616,-0.5625463126503925,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,745617667,0.029448511089424617,0.007313583848455969,0.013906729346920674,0.0033727785875919225,2.11757274860805,2.1684150490024505,FALSE,benchmark,huber_k1.75,huber_k1.75,biweight,0.017756423557635563,0.00468055493055314,-0.6584708622870616,-0.5625463126503925,benchmark_dominant_local_and_profile,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | contaminated | symmetric | heavy_tailed_t | low | high_scale | high_severity,shape=gaussian_core_right_skewed_tail | tail=exponential_right_tail | contamination=contaminated | direction=symmetric | structure=heavy_tailed_t | severity=high_severity | rates={0.02} | scales={20} | types={symmetric_t},gaussian_core_right_skewed_tail,exponential_right_tail,symmetric_t,contaminated,symmetric,heavy_tailed_t,low,high_scale,mid_high_scale,1,3,2,high_severity,NA,0.02,20,symmetric_t,300;1000,0.0039163811455636185,0.004984088375358327,0.002411556878575447,1e-12,1e-12,0.0012978179321628497,4.358949452006582e-5,0.025837070655116062,0.006363132844876001,0.11181631647380386,0.7102058787035276,0.026671238297234848,0.0028095908236216403,2.3257919456898127e-4,0.01152152512340349,0.0032930921975954748,0.006344687593939859,0.003069446039392466,0.007445789321319362,0.016730872507640965,0.0011259708518507995,3.7742384704675505e-4,0.0011990450662995146,0.02434175844338894,0.026107285913765012,0.0018538622734281225,0.00391638;0.00498409;0.00241156;0;0;0.00129782;4.359e-05;0.02583707;0.00636313;0.11181632;0.71020588;0.02667124;0.00280959;0.00023258;0.01152153;0.00329309;0.00634469;0.00306945;0.00744579;0.01673087;0.00112597;0.00037742;0.00119905;0.02434176;0.02610729;0.00185386,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
exgaussian,REG02,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | clustered | high | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95204,5,current_specialist_finalist,FALSE,NA,FALSE,1,0.023165957194009518,0.006715760845520847,FALSE,benchmark,biweight,0.022689244226587187,0.006632872719958356,biweight,biweight,-0.021010526513823194,-0.012496565070604187,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,33,24,12,20,40,1885262962,0.03145758531185627,0.007690778497498565,1.357922966318567,1.1451834979327522,FALSE,benchmark,biweight,biweight,biweight,0.03083715388530163,0.006975307010976159,-0.02011960730365098,-0.10257204239096375,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1885262962,0.03145758531185627,0.007690778497498565,0.023165957194009518,0.006715760845520847,1.357922966318567,1.1451834979327522,FALSE,benchmark,biweight,biweight,biweight,0.03083715388530163,0.006975307010976159,-0.02011960730365098,-0.10257204239096375,benchmark_dominant_local_and_profile,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | contaminated | symmetric | clustered | high | moderate_scale | high_severity,shape=gaussian_core_right_skewed_tail | tail=exponential_right_tail | contamination=contaminated | direction=symmetric | structure=clustered | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={clustered_symmetric},gaussian_core_right_skewed_tail,exponential_right_tail,clustered_symmetric,contaminated,symmetric,clustered,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.15;0.2,4.5;6;9;12;15;20,clustered_symmetric,300;500;1000,0.0018569693818185004,0.15206880436075143,0.002266216701922661,1e-12,1e-12,0.0031797910837194103,1.2080484236988402e-4,0.01531253418753543,0.02499761759707729,0.6763435913768927,0.00475581748710156,0.002651268132473945,0.002083785536975208,0.0019399006035159243,0.004068079494650009,0.00803740252259772,5.844976906147797e-4,0.0027220495883602076,0.002943621596961949,7.852038459338477e-4,6.416113155256434e-4,0.021250788591257154,0.005082070164232119,0.05115453132882871,0.004961555966414606,0.010191486600469372,0.00185697;0.1520688;0.00226622;0;0;0.00317979;0.0001208;0.01531253;0.02499762;0.67634359;0.00475582;0.00265127;0.00208379;0.0019399;0.00406808;0.0080374;0.0005845;0.00272205;0.00294362;0.0007852;0.00064161;0.02125079;0.00508207;0.05115453;0.00496156;0.01019149,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
exgaussian,REG03,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | clustered | low | extreme_scale,evaluated,NA,16,2,14,2,TRUE,10,12,4,95205,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.014571346819931778,0.004181906553870608,FALSE,benchmark,huber_k1.75,0.01447517764918969,0.0038564119257638602,huber_k1.75,huber_k2,-0.006643729912415065,-0.08440349067686073,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,40,24,16,20,40,877424610,0.021208381911402577,0.004813152402387473,1.4554853557487686,1.1509469040578302,FALSE,benchmark,biweight,biweight,biweight,0.021013197109360286,0.0047797132390279785,-0.009288677064094064,-0.0069960605752363405,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,877424610,0.021208381911402577,0.004813152402387473,0.014571346819931778,0.004181906553870608,1.4554853557487686,1.1509469040578302,FALSE,benchmark,biweight,biweight,biweight,0.021013197109360286,0.0047797132390279785,-0.009288677064094064,-0.0069960605752363405,benchmark_dominant_local_and_profile,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | contaminated | symmetric | clustered | low | extreme_scale | extreme_severity,shape=gaussian_core_right_skewed_tail | tail=exponential_right_tail | contamination=contaminated | direction=symmetric | structure=clustered | severity=extreme_severity | rates={0.01} | scales={30} | types={clustered_symmetric},gaussian_core_right_skewed_tail,exponential_right_tail,clustered_symmetric,contaminated,symmetric,clustered,low,extreme_scale,extreme_scale,1,4,3,extreme_severity,NA,0.01,30,clustered_symmetric,300;500;1000,5.349023953240143e-4,0.07708732958543893,0.03686147486407116,1e-12,1e-12,9.863663096858937e-4,4.622087223132265e-5,0.004820738066438056,0.11752773199289092,0.7300168978057048,1.192471744570462e-4,0.0015178426443585179,0.011276691716899849,6.650133437680574e-4,2.3199954674531107e-4,6.224908712564217e-4,2.729261818980879e-4,0.0011656488038805062,3.226904470895298e-4,7.666285291771375e-4,5.881282181730808e-4,0.007167807470299885,0.002387393868778202,6.914680767635647e-4,0.0015056405373339472,0.0028167206753357574,0.0005349;0.07708733;0.03686147;0;0;0.00098637;4.622e-05;0.00482074;0.11752773;0.7300169;0.00011925;0.00151784;0.01127669;0.00066501;0.000232;0.00062249;0.00027293;0.00116565;0.00032269;0.00076663;0.00058813;0.00716781;0.00238739;0.00069147;0.00150564;0.00281672,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
