distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
weibull,REG01,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | tail_outlier | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95102,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.08541966872016019,0.04023850562735267,TRUE,ga_composite,robust,0.08541966872016019,0.04023850562735267,huber_k1.75,huber_k1.75,0.07319687223282667,0.08296706698302495,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,1381813651,0.1414353148082868,0.08484111696067416,1.6557698821097206,2.1084559586848526,FALSE,benchmark,catoni_a0.5,catoni_a0.5,catoni_a0.5,0.07938949869875202,0.03690601481556792,-0.7815368169055914,-1.2988425432373458,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,1381813651,0.1414353148082868,0.08484111696067416,0.08541966872016019,0.04023850562735267,1.6557698821097206,2.1084559586848526,FALSE,benchmark,catoni_a0.5,catoni_a0.5,catoni_a0.5,0.07938949869875202,0.03690601481556792,-0.7815368169055914,-1.2988425432373458,regime_specific_profile_no_free_lunch,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | tail_outlier | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={upper_tail},right_skewed_flexible_shape,flexible_tail,upper_tail,contaminated,upper_tail,tail_outlier,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,upper_tail,300;500;1000,0.01616045242694147,0.17924220234338784,0.0051158175160144325,0.0075476636020942725,0.004549259230468135,0.005972038451393793,0.0014167023310733638,0.013799364022432257,0.010932387251739131,0.03016776320462598,0.018783982450476116,0.0062635911562314815,0.007605949263055512,0.006184397252292976,0.003500781143080632,0.00798177802551006,0.023130519865237464,0.005992548066712002,0.017101079373360067,0.2528700361195274,0.06638797041257713,0.1708168146654306,0.11895734489934653,0.007959873840411996,0.007776810827606569,0.0037828722589727916,0.01616045;0.1792422;0.00511582;0.00754766;0.00454926;0.00597204;0.0014167;0.01379936;0.01093239;0.03016776;0.01878398;0.00626359;0.00760595;0.0061844;0.00350078;0.00798178;0.02313052;0.00599255;0.01710108;0.25287004;0.06638797;0.17081681;0.11895734;0.00795987;0.00777681;0.00378287,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
weibull,REG02,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95103,2,current_specialist_finalist,FALSE,NA,FALSE,1,0.06517617230320334,0.027163961705267234,FALSE,benchmark,huber_k1.75,0.06468983992189709,0.02699004713100762,huber_k1.75,huber_k1.75,-0.007517909796745659,-0.0064436558190877225,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,373975299,0.12256259821464272,0.06925691512278301,1.880481683437835,2.5495881591823975,TRUE,ga_composite,robust,huber_k2,huber_k2,0.12393035157656265,0.07232991788499481,0.01103646802021634,0.042485915262000074,profile_only_unexpected,TRUE,0.1,24,24,20,40,373975299,0.12256259821464272,0.06925691512278301,0.06517617230320334,0.027163961705267234,1.880481683437835,2.5495881591823975,TRUE,ga_composite,robust,huber_k2,huber_k2,0.12393035157656265,0.07232991788499481,0.01103646802021634,0.042485915262000074,profile_only_unexpected,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | clustered | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.1} | scales={30} | types={clustered_upper},right_skewed_flexible_shape,flexible_tail,clustered_upper,contaminated,upper_tail,clustered,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.1,30,clustered_upper,300;500;1000,0.0295175141150189,0.16460233713085082,0.0042894567667772126,0.0061387809465828285,0.0037466958951156313,0.004843395372431247,0.0011633801212672704,0.01151101673030351,0.00905316551629447,0.02509768598312017,0.015308497713359504,0.005066843539134469,0.006071872122577179,0.005089822964246249,0.00289320150439505,0.006684545816377491,0.01832567556090683,0.013275639736796734,0.15449674863121218,0.21001351009492233,0.0524270234877289,0.1364296499214944,0.09765679250667239,0.006638737005546326,0.0064367101232992,0.0032213006935686963,0.02951751;0.16460234;0.00428946;0.00613878;0.0037467;0.0048434;0.00116338;0.01151102;0.00905317;0.02509769;0.0153085;0.00506684;0.00607187;0.00508982;0.0028932;0.00668455;0.01832568;0.01327564;0.15449675;0.21001351;0.05242702;0.13642965;0.09765679;0.00663874;0.00643671;0.0032213,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
weibull,REG03,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | high | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95104,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.04139006476529299,0.01697335963763537,FALSE,benchmark,huber_k1.75,0.037727438835315714,0.009889144824779102,huber_k1.75,huber_k1.75,-0.09708122371804641,-0.7163627328410722,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,33,24,12,20,40,1513620594,0.2573538231877977,0.1567729804489009,6.217768071660039,9.236414227154455,FALSE,benchmark,huber_k0.75,huber_k0.75,huber_k1,0.2246075522546346,0.15508763526796837,-0.14579327633602138,-0.01086705060664334,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1513620594,0.2573538231877977,0.1567729804489009,0.04139006476529299,0.01697335963763537,6.217768071660039,9.236414227154455,FALSE,benchmark,huber_k0.75,huber_k0.75,huber_k1,0.2246075522546346,0.15508763526796837,-0.14579327633602138,-0.01086705060664334,benchmark_dominant_local_and_profile,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | clustered | high | moderate_scale | high_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={clustered_upper},right_skewed_flexible_shape,flexible_tail,clustered_upper,contaminated,upper_tail,clustered,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.15;0.2,4.5;6;9;12;15;20,clustered_upper,300;500;1000,0.04256576442284025,0.3672442492131619,0.005474254121394081,0.005984789677127711,0.005154095539061786,0.0039558407673542795,0.0018453288285025433,0.017635175036531132,0.028765826795707345,0.06145154539935423,0.006065975783654053,0.004056857375054837,0.003808678148249717,0.006203333636634831,0.0037972209974305566,0.004521062378864791,0.00993062969053975,0.006583674962172611,0.02229541714553017,0.2750956099792724,0.036252323303108305,0.008493114580574564,0.05580565066977316,0.007489210844069472,0.005029249934584602,0.0044951207694509335,0.04256576;0.36724425;0.00547425;0.00598479;0.0051541;0.00395584;0.00184533;0.01763518;0.02876583;0.06145155;0.00606598;0.00405686;0.00380868;0.00620333;0.00379722;0.00452106;0.00993063;0.00658367;0.02229542;0.27509561;0.03625232;0.00849311;0.05580565;0.00748921;0.00502925;0.00449512,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
