distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
invgauss,REG01,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95102,5,current_specialist_finalist,FALSE,NA,FALSE,1,0.02126533053863665,0.00690646517370602,TRUE,ga_composite,robust,0.02126533053863665,0.00690646517370602,winsorized_0.1,winsorized_0.1,0.38200457455203024,0.5221227885595482,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,42,24,12,20,40,442424737,0.09424482444332134,0.05721647242027818,4.431853258413149,8.2844799724504,TRUE,ga_composite,robust,huber_k1.75,huber_k1.75,0.10631667281260178,0.06790395599211317,0.11354614520758409,0.1573911772227073,profile_matched_generalization_bonus,TRUE,0.1,24,24,20,40,442424737,0.09424482444332134,0.05721647242027818,0.02126533053863665,0.00690646517370602,4.431853258413149,8.2844799724504,TRUE,ga_composite,robust,huber_k1.75,huber_k1.75,0.10631667281260178,0.06790395599211317,0.11354614520758409,0.1573911772227073,profile_matched_generalization_bonus,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | tail_outlier | moderate | moderate_scale | moderate_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={upper_tail},right_skewed_duration,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,moderate,moderate_scale,mid_high_scale,2,2,2,moderate_severity,NA,0.05;0.1,4.5;6;9;12;15;20,upper_tail,300;500;1000,0.007921847804552814,0.0036373871108232336,0.003945377730876465,0.003784456838659002,0.0029335184856207055,0.004973597748975173,9.49852176194722e-4,0.00937662972849449,0.005304624365697565,0.10709314088786218,0.0038251742868994397,0.013996467887140736,0.008512511339686803,0.003571213927883209,0.023299020227979583,0.00892576818446618,0.004491718874283452,0.011802246870765478,0.004817062864839544,0.5924578953648858,0.0936440237059423,0.005116824626787385,0.014525754707600893,0.0028291466538690082,0.003936219011378124,0.05432851858783575,0.00792185;0.00363739;0.00394538;0.00378446;0.00293352;0.0049736;0.00094985;0.00937663;0.00530462;0.10709314;0.00382517;0.01399647;0.00851251;0.00357121;0.02329902;0.00892577;0.00449172;0.01180225;0.00481706;0.5924579;0.09364402;0.00511682;0.01452575;0.00282915;0.00393622;0.05432852,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
invgauss,REG02,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95103,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.044715296783862414,0.01632177983861331,TRUE,ga_composite,robust,0.044715296783862414,0.01632177983861331,huber_k2,winsorized_0.1,0.1694361854542098,0.3215396535851891,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,1582070032,0.09561030453640225,0.054383258234451975,2.1382012736359486,3.3319441120301505,TRUE,ga_composite,robust,catoni_a0.5,catoni_a0.5,0.10522630823764927,0.06601043009398323,0.09138402612622583,0.17614143466117058,profile_matched_generalization_bonus,TRUE,0.1,24,24,20,40,1582070032,0.09561030453640225,0.054383258234451975,0.044715296783862414,0.01632177983861331,2.1382012736359486,3.3319441120301505,TRUE,ga_composite,robust,catoni_a0.5,catoni_a0.5,0.10522630823764927,0.06601043009398323,0.09138402612622583,0.17614143466117058,profile_matched_generalization_bonus,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | clustered | moderate | extreme_scale | extreme_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={clustered_upper},right_skewed_duration,heavy_right_tail,clustered_upper,contaminated,upper_tail,clustered,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,clustered_upper,300;500;1000,0.047104845037315046,0.1041873041233991,0.004156541474853178,0.00233450533564742,0.045011605956265535,0.04499341925124555,0.0039922844727184464,0.006795507943606515,0.02169807015974376,0.03639788344063363,0.026562984598099106,0.011580061157479728,0.046535539548352337,0.004563753520788756,0.02223721555018372,0.010375413943087691,0.051378905375337854,0.01611734495230452,0.023827461518666552,0.31293841492846525,0.036464213507423814,0.015036308312774601,0.031238192599827373,0.018360094381290458,0.022443568913541306,0.03366855999694871,0.04710485;0.1041873;0.00415654;0.00233451;0.04501161;0.04499342;0.00399228;0.00679551;0.02169807;0.03639788;0.02656298;0.01158006;0.04653554;0.00456375;0.02223722;0.01037541;0.05137891;0.01611734;0.02382746;0.31293841;0.03646421;0.01503631;0.03123819;0.01836009;0.02244357;0.03366856,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
invgauss,REG03,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | moderate | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95104,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.02414973625336645,0.008657933565626923,FALSE,benchmark,catoni_a0.5,0.018352136967614133,0.005542897339609907,catoni_a0.5,catoni_a0.5,-0.3159086756854194,-0.5619869960778051,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,42,24,12,20,40,574231680,0.14499919324417954,0.09245037744379006,6.0041729531502694,10.678111206599167,FALSE,benchmark,huber_k1.75,huber_k1.75,huber_k1.75,0.11700929429215184,0.07138567814963966,-0.23921090304076678,-0.29508298919146225,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,574231680,0.14499919324417954,0.09245037744379006,0.02414973625336645,0.008657933565626923,6.0041729531502694,10.678111206599167,FALSE,benchmark,huber_k1.75,huber_k1.75,huber_k1.75,0.11700929429215184,0.07138567814963966,-0.23921090304076678,-0.29508298919146225,benchmark_dominant_local_and_profile,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | clustered | moderate | moderate_scale | moderate_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={clustered_upper},right_skewed_duration,heavy_right_tail,clustered_upper,contaminated,upper_tail,clustered,moderate,moderate_scale,mid_high_scale,2,2,2,moderate_severity,NA,0.05;0.1,4.5;6;9;12;15;20,clustered_upper,300;500;1000,0.03457037673360038,0.006283702738557913,0.01060618801209821,0.0038397275369066192,0.0017887716686193372,0.0038093492470161836,8.107349669115256e-4,0.004764212505539347,0.022280318712701655,0.030056473259285326,0.0030052081248089146,0.026135628874648424,0.05235768566176374,0.021839620317543114,0.03500953767049841,0.0185349418666477,0.013175962456711723,0.007086223200392728,0.0056146502340896475,0.026468720459892722,0.6472772180719565,0.004786373415099432,0.012805304174744696,6.169334677546567e-4,0.004719831152890344,0.0017563054693208056,0.03457038;0.0062837;0.01060619;0.00383973;0.00178877;0.00380935;0.00081073;0.00476421;0.02228032;0.03005647;0.00300521;0.02613563;0.05235769;0.02183962;0.03500954;0.01853494;0.01317596;0.00708622;0.00561465;0.02646872;0.64727722;0.00478637;0.0128053;0.00061693;0.00471983;0.00175631,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
