distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
exwald,REG01,exwald | first_passage_right_skewed | heavy_first_passage_tail | bimodal | bimodal_mixture | extreme | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95102,2,current_specialist_finalist,FALSE,NA,FALSE,1,0.3598797646736915,0.13494550352030338,TRUE,ga_composite,robust,0.3598797646736915,0.13494550352030338,huber_k2,winsorized_0.2,0.10444778645770839,0.04690450572543334,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_adjacent_rate_scale,144,24,24,20,40,967234027,6.869055901427243,5.201457830490424,19.087085676063047,38.544876967088335,FALSE,benchmark,geometric,geometric,geometric,1.0193080125624885,0.7192799757149797,-5.738940356362987,-6.2314787094049615,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,967234027,6.869055901427243,5.201457830490424,0.3598797646736915,0.13494550352030338,19.087085676063047,38.544876967088335,FALSE,benchmark,geometric,geometric,geometric,1.0193080125624885,0.7192799757149797,-5.738940356362987,-6.2314787094049615,regime_specific_profile_no_free_lunch,exwald | first_passage_right_skewed | heavy_first_passage_tail | contaminated | bimodal | bimodal_mixture | extreme | extreme_scale | extreme_severity,shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.3} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near},first_passage_right_skewed,heavy_first_passage_tail,mixture_bimodal_near,contaminated,bimodal,bimodal_mixture,extreme,extreme_scale,extreme_scale,4,4,3,extreme_severity,NA,0.3,30,mixture_bimodal_far;mixture_bimodal_near,300;500;1000,0.002116401057157995,0.0011706599299612023,8.22086767158903e-4,5.748256384243446e-4,0.0015703620048437266,5.62921152622493e-4,6.753903079070431e-4,0.00131533023806637,0.06738600322701652,0.02326038476368317,0.0016380419962330785,0.0010160811459133615,0.576054175631644,9.43016496546175e-4,0.0013497804596034296,0.0014140786432288006,5.342318985177077e-4,0.14395249604006768,0.017078490669964492,0.0016011025448752147,0.0010004818852630505,0.0012746114042512513,0.00209534846444444,8.043132132259912e-4,0.1490678862139792,7.214982054003142e-4,0.0021164;0.00117066;0.00082209;0.00057483;0.00157036;0.00056292;0.00067539;0.00131533;0.067386;0.02326038;0.00163804;0.00101608;0.57605418;0.00094302;0.00134978;0.00141408;0.00053423;0.1439525;0.01707849;0.0016011;0.00100048;0.00127461;0.00209535;0.00080431;0.14906789;0.0007215,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
exwald,REG02,exwald | first_passage_right_skewed | heavy_first_passage_tail | point_mass | point_mass | moderate | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95103,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.23506362911793202,0.09464292255769853,FALSE,benchmark,winsorized_0.2,0.17959899655382125,0.06496198928754775,winsorized_0.2,winsorized_0.2,-0.3088248466197895,-0.456896926883107,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,42,24,12,20,40,2106879322,1.0124640429220735,0.6776991878445566,4.307191404799636,7.160590243018335,FALSE,benchmark,huber_k0.75,huber_k0.75,huber_k1,0.6454008676877249,0.43169416011854006,-0.5687367241213289,-0.5698595219770765,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,2106879322,1.0124640429220735,0.6776991878445566,0.23506362911793202,0.09464292255769853,4.307191404799636,7.160590243018335,FALSE,benchmark,huber_k0.75,huber_k0.75,huber_k1,0.6454008676877249,0.43169416011854006,-0.5687367241213289,-0.5698595219770765,benchmark_dominant_local_and_profile,exwald | first_passage_right_skewed | heavy_first_passage_tail | contaminated | point_mass | point_mass | moderate | moderate_scale | moderate_severity,shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={point_mass},first_passage_right_skewed,heavy_first_passage_tail,point_mass,contaminated,point_mass,point_mass,moderate,moderate_scale,mid_high_scale,2,2,2,moderate_severity,NA,0.05;0.1,4.5;6;9;12;15;20,point_mass,300;500;1000,0.009379991075600278,0.07065531618631958,0.01914210330628608,0.0032304984797775957,0.04715001507722008,0.002672925797892913,0.001033669386913642,0.051341536924652376,0.03229911943930676,0.09469713285355433,0.003109306747619632,0.003444117961969406,0.0034003176475505825,0.004202649299153578,0.003745149377278553,0.0033281359760997317,0.0048258159548292935,0.00657247797898766,0.019277341008624993,0.025912608231814332,0.3353001140434551,0.1287246060817732,0.07907731705496368,0.016844335882371816,0.022371912889963,0.008261485336021848,0.00937999;0.07065532;0.0191421;0.0032305;0.04715002;0.00267293;0.00103367;0.05134154;0.03229912;0.09469713;0.00310931;0.00344412;0.00340032;0.00420265;0.00374515;0.00332814;0.00482582;0.00657248;0.01927734;0.02591261;0.33530011;0.12872461;0.07907732;0.01684434;0.02237191;0.00826149,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
exwald,REG03,exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | clustered | extreme | low_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95104,2,current_specialist_finalist,FALSE,NA,FALSE,0,0.20325010446048297,0.06532375708699223,TRUE,ga_composite,robust,0.20325010446048297,0.06532375708699223,huber_k0.75,trimmed20,0.11489434929938991,0.2372960449940895,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,18,20,40,1099040970,0.8637238709499081,0.4853864588494096,4.249561756626741,7.4304736972734995,FALSE,benchmark,median,median,median,0.44365747582918935,0.22134607060997027,-0.9468259141462092,-1.1928849132520043,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,1099040970,0.8637238709499081,0.4853864588494096,0.20325010446048297,0.06532375708699223,4.249561756626741,7.4304736972734995,FALSE,benchmark,median,median,median,0.44365747582918935,0.22134607060997027,-0.9468259141462092,-1.1928849132520043,regime_specific_profile_no_free_lunch,exwald | first_passage_right_skewed | heavy_first_passage_tail | contaminated | upper_tail | clustered | extreme | low_scale | extreme_severity,shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={clustered_upper},first_passage_right_skewed,heavy_first_passage_tail,clustered_upper,contaminated,upper_tail,clustered,extreme,low_scale,low_scale,4,1,1,extreme_severity,NA,0.3,1.5;3,clustered_upper,300;500;1000,0.0014444809322402248,0.22684913390305175,0.0691544299612165,0.0035671593226781293,0.013878228845873301,0.005041998723400925,0.004081247539807334,0.20387841431271728,0.0018393663727247782,0.336840303105945,0.002400022905918807,0.01113210142800372,0.015661873591278002,0.003757869792166523,0.0034637990480915685,0.013194408167528949,0.0012236971904382395,0.007188131173831472,0.007771963738011237,0.013218953438331555,0.013113884329769874,0.0066500583347250015,0.01547109841857046,0.00460762977861975,0.0039549534084351665,0.01061479223662445,0.00144448;0.22684913;0.06915443;0.00356716;0.01387823;0.005042;0.00408125;0.20387841;0.00183937;0.3368403;0.00240002;0.0111321;0.01566187;0.00375787;0.0034638;0.01319441;0.0012237;0.00718813;0.00777196;0.01321895;0.01311388;0.00665006;0.0154711;0.00460763;0.00395495;0.01061479,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
