"validation_id","distribution","validation_mode","evidence_grade","legacy_final_decision","n_draws","n_seeds","ga_winner_seeds_passed","median_per_seed_passes","max_per_seed_passes","n_seed_stable_passes","seed_stable_pass_rate","verdict"
"Q1R001","exwald","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,0,0,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
"Q1R002","exwald","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,9.5,15,4,0.001,"RANDOM SEARCH PASSES (composite signal exists; revisit this abstain)"
"Q1R003","exwald","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,7,11,4,0.001,"RANDOM SEARCH PASSES (composite signal exists; revisit this abstain)"
"Q1R004","invgauss","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,13.5,20,3,0.00075,"RANDOM SEARCH PASSES (composite signal exists; revisit this abstain)"
"Q1R005","invgauss","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,23,29,13,0.00325,"RANDOM SEARCH PASSES (composite signal exists; revisit this abstain)"
"Q1R006","invgauss","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,9,16,6,0.0015,"RANDOM SEARCH PASSES (composite signal exists; revisit this abstain)"
"Q1R007","invgauss","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,10.5,28,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
"Q1R008","lognormal","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,5,18,1,0.00025,"RANDOM SEARCH PASSES (composite signal exists; revisit this abstain)"
"Q1R009","lognormal","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,0,1,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
"Q1R010","normal","original_regime","discovery_supported_local_candidate","benchmark_retained",4000,8,0,0,0,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
"Q1R013","exgaussian","original_regime","near_gate_candidate","benchmark_retained",4000,8,0,0,0,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
"Q1R014","exgaussian","original_regime","near_gate_candidate","benchmark_retained",4000,8,0,0,13,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
"Q1R015","exgaussian","original_regime","near_gate_candidate","benchmark_retained",4000,8,0,0,0,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
"Q1R016","normal","original_regime","near_gate_candidate","benchmark_retained",4000,8,0,0,12,0,0,"ABSTAIN CONFIRMED (random search also fails the gate at all seeds)"
