distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
invgauss,REG01,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95203,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.03142202392331432,0.012119167953167956,FALSE,benchmark,catoni_a0.5,0.012685046465940484,0.003547341366066985,catoni_a0.5,catoni_a0.5,-1.4770917478470238,-2.4164087129252896,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,42,24,12,20,40,1856628999,0.1615521296750467,0.097701564250324,5.141366134281308,8.061738612733972,FALSE,benchmark,huber,huber,huber_k1.75,0.12322530965964944,0.08043467065735577,-0.3110304215988226,-0.21466978669321504,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1856628999,0.1615521296750467,0.097701564250324,0.03142202392331432,0.012119167953167956,5.141366134281308,8.061738612733972,FALSE,benchmark,huber,huber,huber_k1.75,0.12322530965964944,0.08043467065735577,-0.3110304215988226,-0.21466978669321504,benchmark_dominant_local_and_profile,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | tail_outlier | moderate | moderate_scale | moderate_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={upper_tail},right_skewed_duration,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,moderate,moderate_scale,mid_high_scale,2,2,2,moderate_severity,NA,0.05;0.1,4.5;6;9;12;15;20,upper_tail,300;500;1000,0.062002427755214175,0.037928073062194256,0.013255584456502484,0.019218048791331828,0.01981375196551251,0.026063115724968562,0.0018390105257142006,0.017794414818846485,0.017933145287123885,0.02087566106823103,0.02193433682698352,0.08225288864703734,0.00809814294422984,0.03069852406636798,0.21449702701636975,0.032920798782646164,0.01894394230200018,0.16514979989393316,0.02916855114458702,0.02595977988819928,0.018910985281140248,0.02716619758429261,0.029610317618771975,0.03685515531027745,0.009072963845338903,0.012037355392185143,0.06200243;0.03792807;0.01325558;0.01921805;0.01981375;0.02606312;0.00183901;0.01779441;0.01793315;0.02087566;0.02193434;0.08225289;0.00809814;0.03069852;0.21449703;0.0329208;0.01894394;0.1651498;0.02916855;0.02595978;0.01891099;0.0271662;0.02961032;0.03685516;0.00907296;0.01203736,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
invgauss,REG02,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | moderate | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95204,3,current_specialist_finalist,FALSE,NA,FALSE,0,0.04364189114200962,0.016242498217864023,TRUE,ga_composite,robust,0.04364189114200962,0.016242498217864023,huber_k2,huber_k2,0.05321284135072366,0.1753195728283883,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,42,24,12,20,40,848790647,0.12315632240630917,0.06317694948289568,2.821974923193397,3.889607905852933,FALSE,benchmark,catoni_a0.5,catoni_a0.5,catoni_a0.5,0.11845911654988707,0.07474431000359621,-0.0396525484334867,0.15475907824942434,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,848790647,0.12315632240630917,0.06317694948289568,0.04364189114200962,0.016242498217864023,2.821974923193397,3.889607905852933,FALSE,benchmark,catoni_a0.5,catoni_a0.5,catoni_a0.5,0.11845911654988707,0.07474431000359621,-0.0396525484334867,0.15475907824942434,regime_specific_profile_no_free_lunch,invgauss | right_skewed_duration | heavy_right_tail | contaminated | point_mass | point_mass | moderate | moderate_scale | moderate_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;20} | types={point_mass},right_skewed_duration,heavy_right_tail,point_mass,contaminated,point_mass,point_mass,moderate,moderate_scale,mid_high_scale,2,2,2,moderate_severity,NA,0.05;0.1,4.5;6;9;12;20,point_mass,300;500;1000,0.0664060190381097,0.05579959449675609,0.01231288513641535,0.020751372475241975,0.018825274378672277,0.008188076958404431,0.0036033471892659053,0.020189364051124592,0.012935016204339927,0.01327129909987317,0.017301042680640602,0.024645757802374595,0.006834832956350849,0.028049441556315155,0.017931300396118212,0.009929436551018016,0.01848477969516405,0.01941595760417938,0.09642757055204754,0.09471762598778788,0.08119485474788007,0.02464270554864769,0.013798661483006753,0.01689018214403394,0.19410460920950565,0.1033489920567262,0.06640602;0.05579959;0.01231289;0.02075137;0.01882527;0.00818808;0.00360335;0.02018936;0.01293502;0.0132713;0.01730104;0.02464576;0.00683483;0.02804944;0.0179313;0.00992944;0.01848478;0.01941596;0.09642757;0.09471763;0.08119485;0.02464271;0.01379866;0.01689018;0.19410461;0.10334899,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
invgauss,REG03,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | high | low_scale,evaluated,NA,22,4,18,3,TRUE,10,16,6,95205,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.0449744934721636,0.016294297709886708,TRUE,ga_composite,robust,0.0449744934721636,0.016294297709886708,catoni_a0.5,catoni_a0.5,0.08337597571275171,0.1758933350474439,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,58,24,22,20,40,1988435942,0.17759268130235928,0.10297666745877314,3.948742222262699,6.3197978388458775,FALSE,benchmark,huber_k1,huber_k1,huber,0.14169477377155307,0.0916493725273925,-0.25334672955848847,-0.12359380777944227,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,1988435942,0.17759268130235928,0.10297666745877314,0.0449744934721636,0.016294297709886708,3.948742222262699,6.3197978388458775,FALSE,benchmark,huber_k1,huber_k1,huber,0.14169477377155307,0.0916493725273925,-0.25334672955848847,-0.12359380777944227,regime_specific_profile_no_free_lunch,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | tail_outlier | high | low_scale | high_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=high_severity | rates={0.2} | scales={3} | types={upper_tail},right_skewed_duration,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,high,low_scale,low_scale,3,1,1,high_severity,NA,0.2,3,upper_tail,300;1000,0.041954447847826405,0.049232828522478206,0.009108710748676276,0.009349168434527037,0.0667837588817673,0.00803583613808526,0.002004139034015381,0.03224324376160486,0.010514594234208207,0.010397330971961155,0.015434837963633551,0.010873106059703892,0.01508709890806275,0.009123847467073398,0.04225625844636055,0.017349811335627,0.07482667138689841,0.018008280635261387,0.4346755955723908,0.03316383204746439,0.008789543427996958,0.017887343289116446,0.02489607173768113,0.0115691796381607,0.015221269815620227,0.011213193693798345,0.04195445;0.04923283;0.00910871;0.00934917;0.06678376;0.00803584;0.00200414;0.03224324;0.01051459;0.01039733;0.01543484;0.01087311;0.0150871;0.00912385;0.04225626;0.01734981;0.07482667;0.01800828;0.4346756;0.03316383;0.00878954;0.01788734;0.02489607;0.01156918;0.01522127;0.01121319,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
