distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
lognormal,REG01,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95203,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.1129468207622953,0.05834316339774825,FALSE,benchmark,huber_k1,0.09971844814392578,0.05173533919593447,huber_k1,huber_k1,-0.13265722506174657,-0.12772360835715407,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,905727388,0.22628698313714998,0.15152640040178877,2.003482538135214,2.597157774359554,FALSE,benchmark,huber,huber,huber_k1.75,0.22582270222503414,0.14162920192417475,-0.002055953221439725,-0.06988105802391582,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,905727388,0.22628698313714998,0.15152640040178877,0.1129468207622953,0.05834316339774825,2.003482538135214,2.597157774359554,FALSE,benchmark,huber,huber,huber_k1.75,0.22582270222503414,0.14162920192417475,-0.002055953221439725,-0.06988105802391582,benchmark_dominant_local_and_profile,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | moderate | extreme_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.1} | scales={30} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.1,30,upper_tail,300;500;1000,0.018674294914117085,0.30207977599131475,0.011415465641114713,0.007168007226909557,0.17276781048755419,0.004392275399953811,8.112563427642311e-4,0.006620891223967592,0.006916982719828183,0.0091890346186952,0.004435353279950575,0.005380190483141881,0.006060482828345163,0.005031141466952806,0.007444657659931802,0.0027117168419627273,0.006456197553768053,0.00786686463875402,0.14034662960622216,0.014179507802687973,0.011626646537118947,0.21959249779963727,0.006380044496146077,0.007077656077162108,0.009401241598518803,0.0059733767634804116,0.01867429;0.30207978;0.01141547;0.00716801;0.17276781;0.00439228;0.00081126;0.00662089;0.00691698;0.00918903;0.00443535;0.00538019;0.00606048;0.00503114;0.00744466;0.00271172;0.0064562;0.00786686;0.14034663;0.01417951;0.01162665;0.2195925;0.00638004;0.00707766;0.00940124;0.00597338,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
lognormal,REG02,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | extreme | low_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95204,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.13140220118558701,0.07291007819861456,FALSE,benchmark,huber,0.12304050382447129,0.06934292287829613,huber,huber_k1.75,-0.06795890053389655,-0.051442240566174344,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,18,20,40,2045372683,0.2960125113421343,0.18034454153632798,2.2527211010857098,2.4735200673160347,FALSE,benchmark,median,median,huber_k0.75,0.14273780330124755,0.081267880169147,-1.0738200006926495,-1.2191367753133033,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,2045372683,0.2960125113421343,0.18034454153632798,0.13140220118558701,0.07291007819861456,2.2527211010857098,2.4735200673160347,FALSE,benchmark,median,median,huber_k0.75,0.14273780330124755,0.081267880169147,-1.0738200006926495,-1.2191367753133033,benchmark_dominant_local_and_profile,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | extreme | low_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,extreme,low_scale,low_scale,4,1,1,extreme_severity,NA,0.3,1.5;3,upper_tail,300;500;1000,0.01472687092865488,0.5332979636248493,0.01263721433212436,0.009588812827539383,0.10244341282181743,0.0019522754068875036,4.5550711849844095e-4,0.0022998935094987846,0.006997639334968201,0.010071088131818747,0.0029528873533972507,0.005027497522673411,0.00542498118880449,0.0022994294932722746,0.008729264786924349,0.0019357670877462791,0.0019631251805940623,0.005849393946387253,0.22022194188692656,0.010815525586605859,0.003228799398080243,0.012241301004909187,0.005773486083929735,0.006857701468341413,0.0073042646165066855,0.0049039553582439525,0.01472687;0.53329796;0.01263721;0.00958881;0.10244341;0.00195228;0.00045551;0.00229989;0.00699764;0.01007109;0.00295289;0.0050275;0.00542498;0.00229943;0.00872926;0.00193577;0.00196313;0.00584939;0.22022194;0.01081553;0.0032288;0.0122413;0.00577349;0.0068577;0.00730426;0.00490396,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
lognormal,REG03,lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | extreme | low_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95205,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.12727133114430225,0.06275783402415923,FALSE,benchmark,huber_k1,0.08765056257870084,0.045259680413100536,huber_k1,huber_k1,-0.45203096705254076,-0.38661681768321077,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,18,20,40,1037534331,0.3345894872777039,0.21523235686688355,2.628946238455792,3.429569554306132,FALSE,benchmark,median,median,median,0.12056202526501911,0.07266690848568669,-1.775247732778501,-1.9619033112894335,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1037534331,0.3345894872777039,0.21523235686688355,0.12727133114430225,0.06275783402415923,2.628946238455792,3.429569554306132,FALSE,benchmark,median,median,median,0.12056202526501911,0.07266690848568669,-1.775247732778501,-1.9619033112894335,benchmark_dominant_local_and_profile,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | clustered | extreme | low_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={clustered_upper},right_skewed,heavy_right_tail,clustered_upper,contaminated,upper_tail,clustered,extreme,low_scale,low_scale,4,1,1,extreme_severity,NA,0.3,1.5;3,clustered_upper,300;500;1000,0.009051160091449163,0.07762953107142258,0.018023532213746602,0.006487733201149954,0.039966792521332284,0.0029544948261961326,0.001151195023169965,0.011579844265925962,0.009626040329136033,0.00887349293575326,0.0027644076854903797,0.004325904704167776,0.004001852441269684,0.005848916496655284,0.011807671325217652,0.003069415506859328,0.008405808319786691,0.013611395625040833,0.03365131453122289,0.12426360250611344,0.006973090231152507,0.5700532011476577,0.005682608449987243,0.0046713427718365315,0.010004235891603196,0.005521415886656991,0.00905116;0.07762953;0.01802353;0.00648773;0.03996679;0.00295449;0.0011512;0.01157984;0.00962604;0.00887349;0.00276441;0.0043259;0.00400185;0.00584892;0.01180767;0.00306942;0.00840581;0.0136114;0.03365131;0.1242636;0.00697309;0.5700532;0.00568261;0.00467134;0.01000424;0.00552142,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
