"seed","family","specialist_regime_id","regime_key","status","gate_pass","final_selected_type","ga_candidate_source","ga_candidate_protected_elite","ga_rel_improvement_q95","ga_rel_improvement_mean","profile_audit_gate_pass","global_audit_gate_pass","global_audit_interpretation","source_file"
"seed101","exgaussian","REG02","exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | heavy_tailed_t | low | low_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.130096478757467,-0.0984303061566472,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/exgaussian/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed101","exgaussian","REG03","exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | heavy_tailed_t | extreme | low_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.0877044277121032,-0.100156703957751,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/exgaussian/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed101","exwald","REG01","exwald | first_passage_right_skewed | heavy_first_passage_tail | bimodal | bimodal_mixture | extreme | extreme_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.104447786457708,0.0469045057254333,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/exwald/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed101","exwald","REG02","exwald | first_passage_right_skewed | heavy_first_passage_tail | point_mass | point_mass | moderate | mid_high_scale","evaluated",FALSE,"benchmark","protected_previous_stage_elite",TRUE,-0.308824846619789,-0.456896926883107,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/exwald/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed101","exwald","REG03","exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | clustered | extreme | low_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.11489434929939,0.237296044994089,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/exwald/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed202","normal","REG01","normal | symmetric | light_tail | symmetric | heavy_tailed_t | moderate | extreme_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.00498576643710074,0.00689958859628616,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/normal/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","normal","REG02","normal | symmetric | light_tail | symmetric | heavy_tailed_t | high | mid_high_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.0699231673270278,0.0167729726109142,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/normal/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","normal","REG03","normal | symmetric | light_tail | symmetric | clustered | moderate | extreme_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.00208338482848632,-0.00134018896737871,TRUE,TRUE,"profile_only_unexpected","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/normal/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","lognormal","REG01","lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | moderate | extreme_scale","evaluated",FALSE,"benchmark","protected_previous_stage_elite",TRUE,-0.132657225061747,-0.127723608357154,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/lognormal/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","lognormal","REG02","lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | extreme | low_scale","evaluated",FALSE,"benchmark","protected_previous_stage_elite",TRUE,-0.0679589005338966,-0.0514422405661743,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/lognormal/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
