distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
normal,REG01,normal | symmetric | light_tail | symmetric | heavy_tailed_t | moderate | extreme_scale,evaluated,NA,16,2,14,2,TRUE,10,12,4,95203,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.05403679590214184,0.013012809725272207,FALSE,benchmark,biweight,0.05376871763438937,0.013103216528614604,biweight,biweight,-0.00498576643710074,0.006899588596286164,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,26,24,16,20,40,1133568399,0.05844816562290272,0.011849370723809092,1.081636404343219,0.91059279072419,FALSE,benchmark,biweight,biweight,biweight,0.05782468683515464,0.011847752638718683,-0.010782225064438246,-1.3657316620405092e-4,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1133568399,0.05844816562290272,0.011849370723809092,0.05403679590214184,0.013012809725272207,1.081636404343219,0.91059279072419,FALSE,benchmark,biweight,biweight,biweight,0.05782468683515464,0.011847752638718683,-0.010782225064438246,-1.3657316620405092e-4,benchmark_dominant_local_and_profile,normal | symmetric | light_tail | contaminated | symmetric | heavy_tailed_t | moderate | extreme_scale | extreme_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=symmetric | structure=heavy_tailed_t | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={symmetric_t},symmetric,light_tail,symmetric_t,contaminated,symmetric,heavy_tailed_t,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,symmetric_t,300;500;1000,5.354807225040343e-5,2.3407266053820773e-4,5.4618728549424204e-5,1e-12,1e-12,2.9152832242010073e-5,7.669041221330833e-6,5.845919373140789e-4,0.10257909934754263,0.8439547575929243,1.332062532378764e-5,2.3995365502255228e-5,0.03774098464092811,6.466485818017252e-5,6.21972559130637e-6,1.690601883602107e-5,1.0234044323722243e-5,2.642671501637414e-5,1.7205969303220163e-5,1.2908312252139713e-4,3.472202255732157e-5,1.6897018130124746e-4,1.2418382712850822e-4,2.396580381023676e-5,0.014064635433382367,3.697143171160798e-5,5.355e-05;0.00023407;5.462e-05;0;0;2.915e-05;7.67e-06;0.00058459;0.1025791;0.84395476;1.332e-05;2.4e-05;0.03774098;6.466e-05;6.22e-06;1.691e-05;1.023e-05;2.643e-05;1.721e-05;0.00012908;3.472e-05;0.00016897;0.00012418;2.397e-05;0.01406464;3.697e-05,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
normal,REG02,normal | symmetric | light_tail | symmetric | heavy_tailed_t | high | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95204,1,current_specialist_finalist,FALSE,NA,FALSE,1,0.05682272598946914,0.015309288620973681,TRUE,ga_composite,robust,0.05682272598946914,0.015309288620973681,biweight,biweight,0.0699231673270278,0.016772972610914212,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,33,24,12,20,40,125730047,0.05581730547865655,0.013024783892267888,0.9823060141116561,0.8507765588515455,FALSE,benchmark,biweight,biweight,biweight,0.04978797410347259,0.011778638653867454,-0.12110015487941551,-0.10579705133287805,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,125730047,0.05581730547865655,0.013024783892267888,0.05682272598946914,0.015309288620973681,0.9823060141116561,0.8507765588515455,FALSE,benchmark,biweight,biweight,biweight,0.04978797410347259,0.011778638653867454,-0.12110015487941551,-0.10579705133287805,regime_specific_profile_no_free_lunch,normal | symmetric | light_tail | contaminated | symmetric | heavy_tailed_t | high | moderate_scale | high_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=symmetric | structure=heavy_tailed_t | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={symmetric_t},symmetric,light_tail,symmetric_t,contaminated,symmetric,heavy_tailed_t,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.15;0.2,4.5;6;9;12;15;20,symmetric_t,300;500;1000,3.733034386946608e-4,3.473017566118799e-4,6.018021738069465e-4,1e-12,1e-12,1.1870057884325885e-4,3.1540975965169134e-5,5.973228690644691e-4,0.07690223916292994,0.5661072959970782,6.872507137294398e-5,2.1466743222232866e-4,0.32746453915689083,3.00061201596593e-4,1.8942951515040678e-4,2.3155731467770836e-4,6.956201333740059e-4,7.477490060209843e-4,5.248563805207342e-5,2.448129156959397e-4,1.4532771717878736e-4,0.004064683292380838,0.0022842731281705457,0.005187045496741364,0.012844979162706997,1.8453686277307538e-4,0.0003733;0.0003473;0.0006018;0;0;0.0001187;3.154e-05;0.00059732;0.07690224;0.5661073;6.873e-05;0.00021467;0.32746454;0.00030006;0.00018943;0.00023156;0.00069562;0.00074775;5.249e-05;0.00024481;0.00014533;0.00406468;0.00228427;0.00518705;0.01284498;0.00018454,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
normal,REG03,normal | symmetric | light_tail | symmetric | clustered | moderate | extreme_scale,evaluated,NA,24,2,22,3,TRUE,10,17,7,95205,2,current_specialist_finalist,FALSE,NA,FALSE,1,0.06801079596607927,0.01696110248040321,FALSE,benchmark,biweight,0.0678693978921901,0.016938401821156128,biweight,biweight,-0.002083384828486317,-0.0013401889673787073,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,1265375342,0.05219810844744877,0.012214077392638646,0.7674973907483063,0.7201228461434404,TRUE,ga_composite,robust,biweight,biweight,0.052940215264170525,0.01243343490353919,0.014017827713858686,0.01764255112000153,profile_only_unexpected,TRUE,0.1,24,24,20,40,1265375342,0.05219810844744877,0.012214077392638646,0.06801079596607927,0.01696110248040321,0.7674973907483063,0.7201228461434404,TRUE,ga_composite,robust,biweight,biweight,0.052940215264170525,0.01243343490353919,0.014017827713858686,0.01764255112000153,profile_only_unexpected,normal | symmetric | light_tail | contaminated | symmetric | clustered | moderate | extreme_scale | extreme_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=symmetric | structure=clustered | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={clustered_symmetric},symmetric,light_tail,clustered_symmetric,contaminated,symmetric,clustered,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,clustered_symmetric,300;500;1000,5.528790807552473e-5,2.3055035567631744e-4,1.2997687854797996e-4,1e-12,1e-12,3.009945420578877e-5,7.877616021526644e-6,5.732602951607648e-4,0.1003591371777409,0.8248365542123653,1.384436837909443e-5,3.636843303717133e-5,0.03907739374523721,6.528781615151196e-5,8.01521780410943e-6,1.8428996573028612e-5,1.5227954371804995e-5,3.157748081074069e-5,1.7656918774206013e-5,1.4699824937510668e-4,3.600872047707896e-5,8.403489061526859e-4,0.002533748761322369,1.5194966863775187e-4,0.03046087011832201,3.2353074478001125e-4,5.529e-05;0.00023055;0.00012998;0;0;3.01e-05;7.88e-06;0.00057326;0.10035914;0.82483655;1.384e-05;3.637e-05;0.03907739;6.529e-05;8.02e-06;1.843e-05;1.523e-05;3.158e-05;1.766e-05;0.000147;3.601e-05;0.00084035;0.00253375;0.00015195;0.03046087;0.00032353,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
