distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
lognormal,REG01,lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | extreme | low_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95102,4,current_specialist_finalist,FALSE,NA,FALSE,0,0.08749842668866216,0.0398899735746433,TRUE,ga_composite,robust,0.08749842668866216,0.0398899735746433,huber_k1,huber_k1,0.03856476008918691,0.16763917201435544,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,18,20,40,328562708,0.3449650823028515,0.19317036682013233,3.9425289728507624,4.84257946307795,FALSE,benchmark,median,median,median,0.14310616578394503,0.07633570363273247,-1.4105535943311698,-1.5305375810510122,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,328562708,0.3449650823028515,0.19317036682013233,0.08749842668866216,0.0398899735746433,3.9425289728507624,4.84257946307795,FALSE,benchmark,median,median,median,0.14310616578394503,0.07633570363273247,-1.4105535943311698,-1.5305375810510122,regime_specific_profile_no_free_lunch,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | clustered | extreme | low_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={clustered_upper},right_skewed,heavy_right_tail,clustered_upper,contaminated,upper_tail,clustered,extreme,low_scale,low_scale,4,1,1,extreme_severity,NA,0.3,1.5;3,clustered_upper,300;500;1000,0.0122183993978717,0.13489482199829314,0.07543389801823301,0.012268667462872163,0.009625415623246968,0.009841393394686431,0.0019454863301900356,0.016059841556918468,0.22538139530805018,0.2342607225851918,0.005295740351121305,0.006597895694451652,0.00833041800082337,0.008981967603706589,0.016047151761634695,0.007639993271150831,0.006021680697956524,0.0046214542109870626,0.018220116640275247,0.020725631357044357,0.018129269867458192,0.08689832051231083,0.010235548256342993,0.0064173678950577755,0.032150771297325194,0.011756630906799575,0.0122184;0.13489482;0.0754339;0.01226867;0.00962542;0.00984139;0.00194549;0.01605984;0.2253814;0.23426072;0.00529574;0.0065979;0.00833042;0.00898197;0.01604715;0.00763999;0.00602168;0.00462145;0.01822012;0.02072563;0.01812927;0.08689832;0.01023555;0.00641737;0.03215077;0.01175663,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
lognormal,REG02,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | extreme | low_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95103,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.09205087930877463,0.0420188890953566,FALSE,benchmark,huber_k1.75,0.08077488523361401,0.0306924554626178,huber_k1.75,huber_k1.75,-0.13959777277812319,-0.3690298955117789,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,18,20,40,1468208003,0.2647452224568533,0.1596106074541147,2.8760748886050096,3.798544199683621,FALSE,benchmark,median,median,huber_k0.75,0.13060149956604378,0.07122657438593635,-1.0271223786519184,-1.2408856361396041,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1468208003,0.2647452224568533,0.1596106074541147,0.09205087930877463,0.0420188890953566,2.8760748886050096,3.798544199683621,FALSE,benchmark,median,median,huber_k0.75,0.13060149956604378,0.07122657438593635,-1.0271223786519184,-1.2408856361396041,benchmark_dominant_local_and_profile,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | extreme | low_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,extreme,low_scale,low_scale,4,1,1,extreme_severity,NA,0.3,1.5;3,upper_tail,300;500;1000,0.018048290457987903,0.48119631431080745,0.01309039584763724,0.005122847701185366,0.02127441376841676,0.003605473554820693,0.0011217803808457269,0.009618862628074498,0.025409651435488827,0.024317300246458732,0.006927886592980366,0.006186845903943776,0.009961339163631663,0.005221131729352095,0.009320580638403044,0.007162785449392846,0.005993608237272341,0.007761219663225041,0.011528544776866096,0.16999711814473795,0.03522584515097503,0.015927523828388322,0.06435574682354939,0.009861436591327469,0.0037721625962986085,0.02799089437793282,0.01804829;0.48119631;0.0130904;0.00512285;0.02127441;0.00360547;0.00112178;0.00961886;0.02540965;0.0243173;0.00692789;0.00618685;0.00996134;0.00522113;0.00932058;0.00716279;0.00599361;0.00776122;0.01152854;0.16999712;0.03522585;0.01592752;0.06435575;0.00986144;0.00377216;0.02799089,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
lognormal,REG03,lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | high | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95104,5,current_specialist_finalist,FALSE,NA,FALSE,0,0.07140755726622594,0.026663010640395602,TRUE,ga_composite,robust,0.07140755726622594,0.026663010640395602,huber_k1,huber_k1,0.03821516385152486,0.13649132755524174,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,33,24,12,20,40,460369651,0.35012319789296453,0.20712362504945483,4.9031672737762335,7.768200967068793,FALSE,benchmark,huber_k0.75,huber_k0.75,huber_k0.75,0.2638022676494944,0.1689451613052722,-0.32721830260320123,-0.2259813980405796,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,460369651,0.35012319789296453,0.20712362504945483,0.07140755726622594,0.026663010640395602,4.9031672737762335,7.768200967068793,FALSE,benchmark,huber_k0.75,huber_k0.75,huber_k0.75,0.2638022676494944,0.1689451613052722,-0.32721830260320123,-0.2259813980405796,regime_specific_profile_no_free_lunch,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | clustered | high | moderate_scale | high_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={clustered_upper},right_skewed,heavy_right_tail,clustered_upper,contaminated,upper_tail,clustered,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.15;0.2,4.5;6;9;12;15;20,clustered_upper,300;500;1000,0.0028196389918331614,0.024287673090414,0.010995569041856754,0.0026444253310587075,0.005471936348305455,0.005046984923102169,0.002276783102669901,0.011971510732761691,0.2824371714360473,0.2904358710028381,0.0037469542828181207,0.0031677165291778718,0.008189046177688642,0.003945818794686755,0.0027587833713673933,0.003824850399889822,0.0022651376788849265,0.0018518113404727653,0.00625201519102302,0.005148372484019708,0.003987544724106755,0.1836096377670123,0.12008225811255777,0.003779630726325077,0.006026344015143361,0.0029765144039385996,0.00281964;0.02428767;0.01099557;0.00264443;0.00547194;0.00504698;0.00227678;0.01197151;0.28243717;0.29043587;0.00374695;0.00316772;0.00818905;0.00394582;0.00275878;0.00382485;0.00226514;0.00185181;0.00625202;0.00514837;0.00398754;0.18360964;0.12008226;0.00377963;0.00602634;0.00297651,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
