distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,w_winsorized_0.05,w_winsorized_0.1,w_winsorized_0.2,w_mom_k5,w_mom_k10,w_mom_k20,w_catoni_a0.05,w_catoni_a0.1,w_catoni_a0.2,w_catoni_a0.35,w_catoni_a0.5,w_huber_k0.75,w_huber_k1,w_huber_k1.345,w_huber_k1.75,w_huber_k2,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size
weibull,REG01,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | tail_outlier | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95203,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.0955280878633281,0.04912589323841472,FALSE,benchmark,huber_k1.75,0.0930244272316093,0.050287741685507266,huber_k1.75,huber_k1.75,-0.026914012869526813,0.023104009210345586,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,60,24,24,20,40,2031936296,0.16475815433102028,0.1002577447546415,1.724709015059684,2.04083301378432,TRUE,ga_composite,robust,huber,huber_k1.75,0.17239200510176703,0.1128108252191782,0.044281930395762954,0.11127549541487947,profile_only_unexpected,TRUE,0.1,24,24,20,40,2031936296,0.16475815433102028,0.1002577447546415,0.0955280878633281,0.04912589323841472,1.724709015059684,2.04083301378432,TRUE,ga_composite,robust,huber,huber_k1.75,0.17239200510176703,0.1128108252191782,0.044281930395762954,0.11127549541487947,profile_only_unexpected,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | tail_outlier | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={upper_tail},right_skewed_flexible_shape,flexible_tail,upper_tail,contaminated,upper_tail,tail_outlier,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,upper_tail,300;500;1000,0.008625502484234982,0.0313791378455782,0.05572651649621126,0.006664457382469333,0.008099819435833884,0.0025409302622026444,0.0013759524854632416,0.018211885114497877,0.018809908688169955,0.02096576383641275,0.008468890079743045,0.00771699129153024,0.007498769205692571,0.011605328743607318,0.01797010563586661,0.00929798242707917,0.014705719120600548,0.014942842172169629,0.14127055238906652,0.1095095818009318,0.008262598681882363,0.3202214850444896,0.044603274880050676,0.008459152477103058,0.021125718378209785,0.08194113364090294,0.0086255;0.03137914;0.05572652;0.00666446;0.00809982;0.00254093;0.00137595;0.01821189;0.01880991;0.02096576;0.00846889;0.00771699;0.00749877;0.01160533;0.01797011;0.00929798;0.01470572;0.01494284;0.14127055;0.10950958;0.0082626;0.32022149;0.04460327;0.00845915;0.02112572;0.08194113,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
weibull,REG02,weibull | right_skewed_flexible_shape | flexible_tail | point_mass | point_mass | moderate | extreme_scale,evaluated,NA,24,2,22,2,TRUE,10,17,7,95204,3,current_specialist_finalist,FALSE,NA,FALSE,0,0.06883459991647962,0.039225871985867265,TRUE,ga_composite,robust,0.06883459991647962,0.039225871985867265,huber,huber,0.23613400935493062,0.29060334215157047,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_adjacent_rate_scale,312,32,24,20,40,1024097944,0.26141395128342,0.2039558143390946,3.797711493882561,5.199522764143485,FALSE,benchmark,catoni_a0.5,catoni_a0.5,catoni_a0.5,0.17773417651819695,0.11924956274923015,-0.47081420357094256,-0.7103275654543308,regime_specific_profile_no_free_lunch,TRUE,0.1,24,32,20,40,1024097944,0.26141395128342,0.2039558143390946,0.06883459991647962,0.039225871985867265,3.797711493882561,5.199522764143485,FALSE,benchmark,catoni_a0.5,catoni_a0.5,catoni_a0.5,0.17773417651819695,0.11924956274923015,-0.47081420357094256,-0.7103275654543308,regime_specific_profile_no_free_lunch,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | point_mass | point_mass | moderate | extreme_scale | extreme_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={point_mass},right_skewed_flexible_shape,flexible_tail,point_mass,contaminated,point_mass,point_mass,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05;0.1,30,point_mass,300;500;1000,0.02193993439546283,0.017566803023148572,0.012599639028482353,0.007937509101953509,0.014367417122036198,0.0034629865867421934,8.744163415917737e-4,0.02885905583054196,0.026339924044482616,0.05199165722704692,0.004092767182282444,0.008591279810862006,0.0101845882177432,0.012400456532809336,0.011126991449440552,0.01383876381703357,0.0131318605991796,0.009599052267464186,0.05332280332597197,0.032286856357566916,0.08614785027638411,0.353407292301357,0.15113330893248314,0.02054527506835238,0.008490254679523202,0.025761256480057584,0.02193993;0.0175668;0.01259964;0.00793751;0.01436742;0.00346299;0.00087442;0.02885906;0.02633992;0.05199166;0.00409277;0.00859128;0.01018459;0.01240046;0.01112699;0.01383876;0.01313186;0.00959905;0.0533228;0.03228686;0.08614785;0.35340729;0.15113331;0.02054528;0.00849025;0.02576126,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
weibull,REG03,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | high | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95205,5,current_specialist_finalist,FALSE,NA,FALSE,1,0.08001778732296601,0.04337989337819984,FALSE,benchmark,winsorized_0.05,0.024446529914761542,0.006838048433699787,winsorized_0.05,catoni_a0.5,-2.2731756858618906,-5.343899694987223,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,33,24,12,20,40,16259592,0.29887495185363583,0.1891819261167855,3.735106428819236,4.36105097039026,FALSE,benchmark,biweight,biweight,huber_k1,0.2367024259036054,0.16976347195743133,-0.26266112699278743,-0.11438535001280498,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,16259592,0.29887495185363583,0.1891819261167855,0.08001778732296601,0.04337989337819984,3.735106428819236,4.36105097039026,FALSE,benchmark,biweight,biweight,huber_k1,0.2367024259036054,0.16976347195743133,-0.26266112699278743,-0.11438535001280498,benchmark_dominant_local_and_profile,weibull | right_skewed_flexible_shape | flexible_tail | contaminated | upper_tail | clustered | high | moderate_scale | high_severity,shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={clustered_upper},right_skewed_flexible_shape,flexible_tail,clustered_upper,contaminated,upper_tail,clustered,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.15;0.2,4.5;6;9;12;15;20,clustered_upper,300;500;1000,0.05630159250576962,0.05289734220803011,0.020693583442319502,0.007328257921816986,0.007162880130977241,0.0030397069863180148,7.685991270149717e-4,0.016192501957406374,0.08643821117178578,0.04283666154257197,0.006695168964394993,0.0043636537489103126,0.009221641614039766,0.005980157876027097,0.005983919365553732,0.00756883358455423,0.007987679610667186,0.0047489510451171925,0.01659428934041956,0.014035727907622204,0.02772481680720841,0.10743663994975089,0.07299166250583225,0.39892684348545837,0.007048746885678255,0.009031930314754981,0.05630159;0.05289734;0.02069358;0.00732826;0.00716288;0.00303971;0.0007686;0.0161925;0.08643821;0.04283666;0.00669517;0.00436365;0.00922164;0.00598016;0.00598392;0.00756883;0.00798768;0.00474895;0.01659429;0.01403573;0.02772482;0.10743664;0.07299166;0.39892684;0.00704875;0.00903193,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100
